seconds,year,month,quarter,season,time_id
1,2025,1,1,Winter,1001
2,2025,2,1,Winter,1002
3,2025,3,1,Spring,1003
4,2025,4,2,Spring,1004
5,2025,5,2,Summer,1005
6,2025,6,2,Summer,1006
7,2025,7,3,Summer,1007
8,2025,8,3,Summer,1008
9,2025,9,3,Fall,1009
10,2025,10,4,Fall,1010
11,2025,11,4,Winter,1011
12,2025,12,4,Winter,1012
13,2024,1,1,Winter,1013
14,2024,2,1,Winter,1014
15,2024,3,1,Spring,1015
16,2024,4,2,Spring,1016
17,2024,5,2,Summer,1017
18,2024,6,2,Summer,1018
19,2024,7,3,Summer,1019
20,2024,8,3,Summer,1020
21,2024,9,3,Fall,1021
22,2024,10,4,Fall,1022
23,2024,11,4,Winter,1023
24,2024,12,4,Winter,1024
25,2025,1,1,Winter,1025
26,2025,2,1,Winter,1026
27,2025,3,1,Spring,1027
28,2025,4,2,Spring,1028
29,2025,5,2,Summer,1029
30,2025,6,2,Summer,1030
31,2025,7,3,Summer,1031
32,2025,8,3,Summer,1032
33,2025,9,3,Fall,1033
34,2025,10,4,Fall,1034
35,2025,11,4,Winter,1035
36,2025,12,4,Winter,1036
37,2024,1,1,Winter,1037
38,2024,2,1,Winter,1038
39,2024,3,1,Spring,1039
40,2024,4,2,Spring,1040
41,2024,5,2,Summer,1041
42,2024,6,2,Summer,1042
43,2024,7,3,Summer,1043
44,2024,8,3,Summer,1044
45,2024,9,3,Fall,1045
46,2024,10,4,Fall,1046
47,2024,11,4,Winter,1047
48,2024,12,4,Winter,1048
49,2025,1,1,Winter,1049
50,2025,2,1,Winter,1050
51,2025,3,1,Spring,1051
52,2025,4,2,Spring,1052
53,2025,5,2,Summer,1053
54,2025,6,2,Summer,1054
55,2025,7,3,Summer,1055
